title,description,authors,publisher,published_date,categories,ratings_count
Tus Zonas Sagradas,"Conoce tu yo sagrado para abordar positivamente tus dificultades cotidianas. Te encuentras atenazado en los límites de tu realidad inmediata; aceptas las presiones, los ajetreos de esta como si fueran lo natural, la única vida posible. Pero existe otra realidad, una realidad más plena y dichosa a la que puedes acceder... simplemente despertando tu otro yo. Reconocer y aceptar la guía de ese yo sagrado te permitirá situarte por encima de las dificultades cotidianas, no para desdeñarlas, sino más ",Wayne W. Dyer,DEBOLS!LLO,2017-05-04,Self-Help,0
The Mission: Inside the Church of Jesus Christ of Latter-Day Saints,,Church of Jesus Christ of Latter-day Saints,,1995,,0
Well-dressed Gentleman's Pocket Guide,"This is the must-have accessory for any style-conscious man!"" A Well-Dressed Gentleman s Pocket Guide"" presents the etiquette and history of classic styling through the years. It illustrates the fine differences in the gentleman s dress code, enabling men to purchase the best-quality items and dress for any occasion. Includes summary style charts and warnings of classic faux pas.""",Oscar Lenius,Prion,2016-10-04,,0
"The Secret Architecture of Our Nation's Capital: The Masons and the Building of Washington, D.C.","Today, there are more than twenty complete zodiacs in Washington, D.C., each one pointing to an extraordinary mystery. David Ovason, who has studied these astrological devices for ten years, now reveals why they have been placed in such abundance in the center of our nation's capital and explains their interconnections. His richly illustrated text tells the story of how Washington, from its foundation in 1791, was linked with the zodiac, with the meaning of certain stars, and with a hidden cosmo",David Ovason,Harper Collins,2012-02-14,History,4.0
Summer of My German Soldier,"When German prisoners of war are brought to her Arkansas town during World War II, twelve-year-old Patty, a Jewish girl, befriends one of them and must deal with the consequences of that friendship.",Bette Greene,Puffin Books,1973,Juvenile Fiction,40.0
Hundred Great Muslims,,Khwaja Jamil Ahmad,,1971,India,0
Little America,,Albert Paddock Crary,,1961,Geophysics,0
A Practical Introduction to Econometric Methods:: Classical and Modern,"An introduction to the theory and practice of classical and modern econometric methods. It seeks to help the reader: understand the scope and limitations of econometrics; read, write and interpret articles and reports of an applied econometric nature; and to build upon the elements introduced.","Patrick K. Watson, Sonja S. Teelucksingh",University of West Indies Press,2002,Business & Economics,1.0
Fire on the beaches,"FROM THE CIVIL WAR TO THE TURN OF THE CENTURY, THIS IS THE TRUE-LIFE STORY OF THE ORIGINAL COAST GUARD AND ONE CREW OF AFRICAN-AMERICAN HEROES WHO FOUGHT STORMS AND SAVED LIVES OFF NORTH CAROLINA'S OUTER BANKS. Fire on the Beach recovers a lost gem of American history. It tells the story of the U.S. Life-Saving Service, formed in 1871 to assure the safe passage of American and international shipping and to save lives and salvage cargo. A century ago, the adventures of the now-forgotten ""surfmen""","David Wright, David Zoby",Simon and Schuster,2002-01-10,Biography & Autobiography,0
Selected poems (The Pocket poets series),,Robert Edward Duncan,,1973,,0
The lollipop party;,Tomas stays alone in the apartment for the first time waiting for his mother to get home; and the long and scary wait turns into a lollipop party.,Ruth A. Sonneborn,Viking Children's Books,1967,Apartment dwellers,1.0
The Way of the World. Edited by Kathleen M. Lynch.,,"William Congreve, Lynch, Kathleen Martha","Lincoln, Nebraska",1965,,0
Time: Hurricane Katrina: The Storm That Changed America,"Depicts the destruction caused by Hurricane Katrina on the Gulf Coast, especially New Orleans, and the attempts by residents and rescue workers to cope with the disaster.",,Time Home Entertainment Incorporated,2005,History,0
International Children's Literature: A special issue of the journal Early Child Development and Care,"The Posthuman Child combats institutionalised ageist practices in primary, early childhood and teacher education. Grounded in a critical posthumanist perspective on the purpose of education, it provides a genealogy of psychology, sociology and philosophy of childhood in which dominant figurations of child and childhood are exposed as positioning child as epistemically and ontologically inferior. Entangled throughout this book are practical and theorised examples of philosophical work with studen",Karin Murris,Routledge,2016-03-17,Education,0
The President and Mom's Apple Pie,"When President Taft comes to town to dedicate the new flagpole, he smells something wonderful, and sets out, with the entire town in tow, to discover from where the enticing scent is coming.",Michael Garland,Puffin,2004-05,Juvenile Fiction,1.0
PCI Express System Architecture,"••PCI EXPRESS is considered to be the most general purpose bus so it should appeal to a wide audience in this arena.•Today's buses are becoming more specialized to meet the needs of the particular system applications, building the need for this book.•Mindshare and their only competitor in this space, Solari, team up in this new book.","Ravi Budruk, Don Anderson, Tom Shanley, MindShare, Inc",Addison-Wesley Professional,2004,Computers,0
"Claude de Bernales, the magnificent miner: A biography",,Hal Colebatch,,1996,Businessmen,0
The Space Between,,,,,,0
Pronoun Music,"Short Fiction. These stories of Richard Cohen illuminate family life with a realism large enough to accommodate illusion. Most of these stories are about children and their parents. Some of the children are grownups taking care of their elders; others are chronologically juvenile. At the turning point of youth to age, of singleness to marriage, they fight their way out of the webs of family and self with a degree of success equal finally to their gift for belief. Sheila Weller of The New York Ti",Richard Cohen,,2000,Fiction,0
Understanding history;: A primer of historical method,"A scholarly discussion of the practice, style and theory of history","Louis Gottschalk, Louis Reichenthal Gottschalk",Random House Incorporated,1969,Historiography.,1.0
West Highland White Terriers (KW),Presents recommendations about selecting and caring for West Highland White Terriers.,Martin Weil,Tfh Publications Incorporated,1990,Pets,0
Road Belong Cargo,"This book deals with the fascinating phenomena of the practice of the ""Cargo Cult"" in the Madang district of New Guinea.",Peter Lawrence,Manchester University Press,1964,Cargo cults,0
Healthy Cooking Made Easy,"Easy To Make & Incredibly Healthy Cookbook Get your copy of the best and most unique recipes from Deirdre Hudson ! Do you want an ideal way to preserve your food?Do you want to lose weight? Are you starting to notice any health problems?Do you want to learn to prep meals like a pro and gain valuable extra time to spend with your family? Do you want to learn new recipes that will leave your family hungry for more? If these questions ring bells with you, keep reading to find out, Healthy Weekly Me",Deirdre Hudson,,2020-08-18,,0
The Powers of War and Peace: The Constitution and Foreign Affairs after 9/11,,John Yoo,,2005,United States,0
No men are strangers,A memoir rich in reflections and reminiscences by the war correspondent and editor of the New Masses. (1904-1945).,Joseph North,International Publication Service,1958,Communism,0
Night at the Vulcan,It's more than opening night jitters. The leading man is found dead after the very first performance. Was it suicide or homicide? Scotland Yard's Inspector Roderick Alleyn takes center stage in the investigation of the unlucky actor's dramatic demise. Copyright © Libri GmbH. All rights reserved.,Ngaio Marsh,Jove,1983-10-15,"Alleyn, Roderick (Fictitious character)",0
The Cannabis Grow Bible: The Definitive Guide to Growing Marijuana for Recreational and Medical Use,"This guide offers methods for growers who want to maximize the yield and potency of their crop. It explains the ""Screen of Green"" technique that gives a higher yield using fewer plants, an important development for American growers who, if caught, are penalized according to number of plants. With an emphasis on the day-to-day aspects of maintaining a garden and European expertise, this book ensures that growers will enjoy a successful harvest.",Greg Green,,2003,Gardening,14.0
Tuneful tales,"As enigmatic and contradictory as far West Texas has always been, it is nevertheless surprising to learn that in 1925 its desert germinated a slender but vibrant shoot of the Harlem Renaissance. Isolated on the U.S.-Mexico border, far from any metropolitan African-American community or literary influences, Bernice Love Wiggins, a perceptive young poet, self-published her first, apparently only, book of poetry. One of only a handful of black writers in Texas in the 1920s and 1930s, Wiggins was co",Bernice Love Wiggins,Texas Tech University Press,2002,Poetry,0
Los reyes malditos I: El rey de hierro (Los Reyes Malditos / the Acursed Kings),Rey de hierro; Reina estrangulada; Venenos de la corona; Ley de los varones; Loba de Francia; Flor de lis y el león.,Maurice Druon,Ediciones B,2014-12-30,Fiction,0
Camera Lucida: Reflections on Photography,"A graceful, contemplative volume, Camera Lucida was first published in 1979. Commenting on artists such as Avedon, Clifford, Mapplethorpe, and Nadar, Roland Barthes presents photography as being outside the codes of language or culture, acting on the body as much as on the mind, and rendering death and loss more acutely than any other medium. This groundbreaking approach established Camera Lucida as one of the most important books of theory on the subject, along with Susan Sontag's On Photograph",Roland Barthes,Hill and Wang,2010-10-12,Photography,6.0
Name Your Baby,"An alphabetical listing of names from Ashley to Jessica to Michael to Ryan includes commentary on why each name is a bad choice, and provides such categories as ""names to keep your girl jobless"" and ""the dot com revolution.""",David Narter,Cumberland House Publishing,2001-06,Family & Relationships,1.0
"2002 CodeTracker Area Code Map: area codes and time zones for the US, Canada and parts of the Caribbean",,,,,,0
"Teach Us, Amelia Bedelia",The very literal minded Amelia Bedelia becomes a substitute teacher for a day. Copyright © Libri GmbH. All rights reserved.,Peggy Parish,Scholastic,1980-04,Accelerated readers,14.0
Thirty Contemporary Women Artists: Postcard Book,,"Pomegranate Communications, Inc, Pomegranate Publishers",Pomegranate,1992-01-01,Art,0
The Soft Room,"This comprehensive book presents key issues in the technology of the soft drinks industry. Employing a user-friendly format and writing style, the author draws on more than thirty-five years' hands-on experience in technical management in the soft drinks industry. The diverse subjects discussed focus on key scientific and technical issues encounter",Maurice Shachman,CRC Press,2004-08-16,Technology & Engineering,0
To Raise A Jewish Child: A Guide For Parents,"In a society with so many distractions, how can American Jewish parents teach their children to know and appreciate what it means to be a Jew? Updated with current resource material, this practical book provides help in finding and evaluating a Hebrew school, in dealing with secular peer pressure, and in planning observances in the home.","Hayim Halevy Donin, Steve Fiffer",,1991-09,,0
Regulatory and Advanced Regulatory Control: System Development,"This book teaches the practice of process control for the wet process industries. It stresses the study of real, imperfect processes rather than system theory & gives guidance on how engineers can best apply their own experience, intuition & knowledge of the particular process.",Harold L. Wade,Isa,1994,Technology & Engineering,1.0
The Drifting Cowboy,,Will James,,1947,Cowboys,0
That's Just Your Interpretation: Responding to Skeptics Who Challenge Your Faith,"In our relativistic society, Christians more than ever are bombarded by tough questions about their faith. Author Paul Copan has observed that many of these questions emerge as ""anti-truth claims"" that are part of today's skeptical mind-set. Christians defending their faith often hear slogans and questions such as: Ž It's all relative Ž Everything is one with the Divine; all else is illusion Ž The Gospels contradict each other Ž Why would a good God create hell? This book provides incisive answe",Paul Copan,Baker Books,2001-11-01,Religion,2.0
Whitetail Strategies: A No-Nonsense Approach to Successful Deer Hunting,"Presents a guide to successful deer hunting, providing expert tips for tracking, reading deer body language, rattling, deer calling, and more.",Peter Fiduccia,Gotcha Products Incorporated,1995-06,Sports & Recreation,0
The Old Woman Who Loved to Read,The old woman thought that when she moved to the country she would have plenty of time to read. But she soon found that each season brought other tasks to keep her busy.,John Winch,,1996,Books and reading,0
D.V.,"Written by Stu Maschwitz, co-founder of the Orphanage (the legendary guerrilla visual effects studio responsible for amazing and award-winning effects in such movies as Sin City, The Day After Tomorrow, and Harry Potter and the Goblet of Fire), this book is a must-have for all those budding filmmakers and students who want to produce action movies with visual effects but don't have Hollywood budgets. The Orphanage was created by three twenty-something visual effects veterans who wanted to make t",Stu Maschwitz,Pearson Education,2006-12-23,Computers,1.0
Some thoughts concerning education,"Offers two complementary works, unabridged, in modernised, annotated texts. Suitable for classroom use, this title provides an introduction, a note on the texts, and a select bibliography.",John Locke,Hackett Publishing,1996,Philosophy,0
THIS WAS NORMALCY. An Account of Party Politics During Twelve Republican Years: 1920 - 1932.,,Karl Schriftgiesser,,1973,United States,0
"The Eloquence of Living: Meeting Life With Freshness, Fearlessness, and Compassion","Offers meditations on freedom, relatedness, spiritual life, observaton, awareness, and silence",Vimala Thakar,,1989,Philosophy,0
The first Crossing of Greenland,"Fridtjof Nansen journeyed across Greenland in 1888 - eight attempts before him failed. This edition removes the technical appendices. the historical sections on previous attempts to penetrate the fiedl, and the detailed account of the Eskimos. The record of the journey, however, remains intact.",Fridtjof Nansen,Birlinn Limited,2001,Science,1.0
Guadalcanal: The first offensive (United States Army in World War II. The war in the Pacific),"A documentary history with brief narrative introductions illustrating the evolution of civil affairs policy and practice in the Mediterranean and European theaters. Most important of all, in World War II soldiers became governors in a much broader sense than ever before—so much more than was foreseen that the Army's specialized training proved scant preparation for perhaps the most important phase of their role. They became not merely the administrators of civilian life for the Army's immediate ","Harry L. Coles, Albert K. Weinberg",Government Printing Office,1986,History,0
Ancient Rome: City Planning and Administration,"Rome was a huge city. Running it required not only public works and services but also specialised law. This innovative work traces the development of that law and system in the main areas of administration. The book incorporates and develops previous historical and topographical works by relating their findings to the Roman legal framework, building up a portrait of public administration, unusually comprehensive for the ancient world.",O. F. Robinson,Routledge,2003-08-27,History,0
The Greatest Generation,"Focuses on the generation of Americans who were born in the 1920s, came of age during the Depression, fought in World War II, and came home to build a new America during the postwar era.",Tom Brokaw,Delta,2001-05,History,5.0
Object Oriented Reengineering Patterns (The Morgan Kaufmann Series in Software Engineering and Programming),"A guide on how to reverse engineer legacy systems to understand their problems, and then reengineer those systems to meet new demands. It uses patterns to clarify and explain the process of understanding large code bases, hence transforming them to meet new requirements.","Serge Demeyer, Stéphane Ducasse, Oscar Marius Nierstrasz, Oscar Nierstrasz",Morgan Kaufmann,2003,Computers,1.0
Unexpected Way: On Converting from Buddhism to Catholicism,"The story of one man's unexpected pilgrimage from Buddhism to Catholicism.There are Christians who, in mid-life decide to abandon their Christian faith and become Buddhists. Paul Williams did the opposite. After twenty years spent practising and teaching Tibetan Buddhism in Britain, scholar and broadcaster Paul Williams astonished his family and friends in 1999 by converting to Roman Catholicism. Williams explains why he joined a Church that many Buddhists and others might regard as a repressed ",Paul Williams,Bloomsbury Publishing,2002-07-06,Religion,0
On Ghost Trails,"Trevor Langley is a down-on-his-luck, lovelorn private investigator working out of Norfolk, Virginia who's getting fed up with his work- constantly having to put the tail on the dregs of society: cheating spouses, deadbeat dads, and embezzling employees. He longs for two things: a fresh slant toward his work, and finding the woman of his dreams. Well, Trevor's about to have both wishes granted as Julia Forest enters his life one hot, summer night bearing an unusual photo that sets Trevor out on ",Joe Townley,iUniverse,2002-03-01,Fiction,0
The Essential Golden Dawn: An Introduction to High Magic,"For those who want to find out about what the Golden Dawn is and what it has to offer, this book answers questions about its philosophy, principles, and history.","Chic Cicero, Sandra Tabatha Cicero",Llewellyn Worldwide,2003,"Body, Mind & Spirit",3.0
Iso 9001:2000 Achieving Compliance and Continuous Improvement in Software Development Companies,"ISO 9001:2000: Achieving Compliance and Continuous Improvement in Software Development Companies is one of the only books that offers advice about implementing ISO 9001:2000 in the software industry. Through this book, quality professionals and practitioners such as project managers, software engineers, and software testers will be able to understand what ISO 9001:2000 requirements can be used to improve the quality of their work, and, if certification to the requirements is desired, how to comp",Vivek Nanda,Asq Press,2003-01-01,Technology & Engineering,0
"Technical analysis of stock trends,","Based on the research and experience of Dow, Schabacker, and Edwards, Technical Analysis of Stock Trends, Ninth Edition presents proven techniques, methods, and procedures for success, even in today‘s unpredictable markets. New and updated material on Dow Theory and long term investing, including new tables of","Robert D. Edwards, W.H.C. Bassetti, John Magee",CRC Press,2007-02-13,Business & Economics,11.0
La Ignorancia,"This book provides readers with a clear, straightforward writing style, an abundance of examples, detailed real-life cases, and current data and statistics. It aims to 1) introduce ethical concepts that are relevant to resolving moral issues in business, 2) develop the reasoning and analytical skills needed to apply ethical concepts to business decisions, 3) identify moral issues specific to business, and 4) examine the social and natural environments within which moral issues in business arise.",Manuel G. Velasquez,Pearson Educación,2006,Business & Economics,6.0
101 Cataclysms: For the Love of Cats,,"Rachael Hale, Suzanne McFadden",,2005,Cats,1.0
The Best Men's Stage Monologues of 1996 (Serial),A world list of books in the English language.,,,1997,American literature,0
The Meaning of Liff,"The updated, revised edition of ""The Meaning of Liff"", with illustrations from ""Private Eye"" cartoonist Bert Kitchen.","Douglas Adams, John Lloyd",Pan Macmillan,1992,American wit and humor,0
MCSE Microsoft SQL Server 2000 Administration Readiness Review; Exam 70-228 (MCSE Readiness Review),"Test your readiness for the MCP exam. If you took Microsoft Certified Professional (MCP) Exam 70-228 today, would you pass? With the READINESS REWIEW MCP exam simulation on CD-ROM, you get a low-risk, low-cost way to find out! This next-generation test engine delivers a set of randomly generated, 50-question practice exams covering real MCP objectives. You can test and retest with different question sets each time-and with automated scoring, you get immediate Pass/Fail feedback. More importantly","Irfan Chaudhry, Dean Bartholomew",,2001,Computers,0
The psychology of Biblical interpretation,,Cedric B. Johnson,,1983,Bible,0
"Cooking for Kings: The Life of Antonin Careme, the First Celebrity Chef","A unique feast of biography and Regency cookbook, Cooking for Kings takes readers on a chef's tour of the palaces of Europe in the ultimate age of culinary indulgence. Drawing on the legendary cook's rich memoirs, Ian Kelly traces Antonin CarÁame's meteoric rise from Paris orphan to international celebrity and provides a dramatic below-stairs perspective on one of the most momentous, and sensuous, periods in European history-First Empire Paris, Georgian England, and the Russia of War and Peace. ",Ian Kelly,Bloomsbury Publishing USA,2009-05-26,Cooking,4.0
"Colloquial Hindi, 2e: The Complete Course for Beginners (Colloquial Series)","Colloquial Hindi: The Complete Course for Beginners has been carefully developed by an experienced teacher to provide a step-by-step course to Hindi as it is written and spoken today. Combining a clear, practical and accessible style with a methodical and thorough treatment of the language, it equips learners with the essential skills needed to communicate confidently and effectively in Hindi in a broad range of situations. No prior knowledge of the language is required. Colloquial Hindi is exce",Tej K Bhatia,Routledge,2015-08-14,Foreign Language Study,0
Grieving the Child I Never Knew,"When the anticipation of your child s birth turns into the grief of loss, there is strength and encouragement in the wisdom of others who have shared your experience and found that God s comfort is real.""",Kathe Wunnenberg,,2015-12-08,Religion,15.0
COMMAND AND CONTROL ON THE WESTERN FRONT: The British Army's Experience 1914-18,"A study by historians of the First World War considers various aspects of command at various levels on the Western Front. This book describes, if the British Army really had been led by donkeys, then how was the war won and how did the Army reach such a peak of military excellence in 1918?","Gary Sheffield, Dan Todman","Spellmount, Limited Publishers",2008-09-01,History,0
Frommer's California 2005 (Frommer's Complete Guides),"You'll never fall into the tourist traps when you travel with Frommer's. It's like having a friend show you around, taking you to the places locals like best. Our expert authors have already gone everywhere you might go—they've done the legwork for you, and they're not afraid to tell it like it is, saving you time and money. No other series offers candid reviews of so many hotels and restaurants in all price ranges. Every Frommer's Travel Guide is up-to-date, with exact prices for everything, do",Matthew Poole,*Frommers,2004-09-17,Travel,0
Outlaw's Bride,"“A very amusing and imaginative romp that has the Joan Johnston stamp of excellence all over it.”—Affaire de Coeur When the gorgeous blonde sashayed into Oakville, Ethan Hawk was a goner—until she told him her name: Patch Kendrick. The tomboy tease he remembered from Fort Benton, Montana, was now a luscious lady hunting for her man: him! Nothing, not even his outlaw past, would keep Patch off his trail. She knew that Ethan Hawk was the man for her—even when he galloped out of her childhood with ",Joan Johnston,Dell,2011-03-09,Fiction,0
Jump-Off Creek,"A widowed homesteader is determined to make a life in the unforgiving mountains of late 19th century Oregon in this “powerful novel of struggle and loss” (Dallas morning News). Acclaimed author Molly Gloss drew on pioneer diaries and old family stories to write this modern Western classic of a solitary woman’s frontier life. In the 1890s, Lydia Sanderson leaves her old life behind and journey’s to Jump-Off Creek to make her way as a homesteader. Enduring the hardships and deprivations of Oregon’",Molly Gloss,Houghton Mifflin Harcourt,2014-05-20,Fiction,8.0
Great Smoky Mountains Simply Beautiful,"An estimated 100,000 plant and animal species reside in Great Smoky Mountains National Park. It rains 7 feet per year, filling 2,000 miles of waterways. Mountains surpass 6,000 feet. Place names like Cataloochee and Oconaluftee, Charlies Bunion and Clingsmans Cove recall the history of settlement in the region. Park naturalist Steve Kemp explains both the natural environment and the creation of the national park. Photographer Adam Jones showcases the beauty of the park in every stunning season.",Steve Kemp,Farcountry Press,2004-03,Photography,0
Smoke Bellow,,Jack London,,1975,,0
We Made the Headlines Possible: The Critical Contribution of the Rear Echelon in World War II,We Made the Headlines Possible is George Havens' personal account of his time as a First Sergeant in the US Army in World War II.,George N. Havens,Greenleaf Book Group Press,2002-09-01,History,0
Burton;: A biography of Sir Richard Francis Burton,"A New York Times best-seller when it was first published, Rice's biography is the gripping story of a fierce, magnetic, and brilliant man whose real-life accomplishments are the stuff of legend. Rice retraces Burton's steps as the first European adventurer to search for the source of the Nile; to enter, disguised, the forbidden cities of Mecca and Medina; and to travel through remote stretches of India, the Near East, and Africa. From his spying exploits to his startling literary accomplishments",Edward Rice,Da Capo Press,2001-06-07,Biography & Autobiography,0
Escape Of Charles II After The Battle of Worcester,Maps on endpapers. Bibliography: p. 149-154.,Richard Lawrence Ollard,London : Hodder & Stoughton,1966,History,0
The gazebo (Her A Miss Silver mystery),,Patricia Wentworth,,1858,,4.0
"Lean years, happy years",,Angelo M. Pellegrini,,1983,Cookery,0
Clara : A Novel,,A lady,,1841,,0
"The lawyers' proof of the hereafter,",,"Claude Watson Rowe, Gilbert Theodore Rowe",,1941,Immortality,0
Profiteer (Hostile Takeover #1),,S. Andrew Swann,,2004,"Science fiction, American",0
Say It in Danish (Dover Language Guides Say It Series),"DIVContains over 1,000 useful sentences and phrases for travel or everyday living abroad: food, shopping, medical aid, courtesy, hotels, travel, and other situations. /div",Dover,Courier Corporation,2013-01-18,Foreign Language Study,0
Pointing Out the Dharmakaya,"At the heart of successful Mahamudra practice is the ability to understand the nature of mind. The Ninth Karmapa Wangchuk Dorje (1556–1603) was the acknowledged master of this approach. No more authoritative or useful instructions exist than in his three definitive texts on Mahamudra, of which this easy-to-use manual is the shortest and most practical. Pointing Out the Dharmakaya is an indispensable companion to The Ocean of Definitive Meaning, the most vast and detailed of the texts. An invalua",Khenchen Thrangu,Shambhala Publications,2012-04-16,Religion,0
Winter Count,"The death song of the white buffalo...a snowfall of herons alighting on a New York street...A mystic who makes stones rise from the desert floor...the startling disappearance of a river....""Winter Count"" consists of nine intoxicating tales of revelation, singular recorded moments of clarity, magic and overwhelming truth, from the National Book Award-winning author of Arctic Dreams and recipient of the John Burroughs Medal for distinguished natural history writing. Copyright © Libri GmbH. All rig",Barry Holstun Lopez,,1993,Nature,2.0
Snow (Uncorrected Proof),,Keith Heller,,1996,Europe,0
DISEASES OF LIVESTOCK,"Most of the future increase in livestock production is expected to occur in the tropical and subtropical regions of the world. Cattle are the most numerous of the ruminant species in the tropics and provide the largest quantity of animal food products. More than one-third of the world's cattle are found in the tropics. Disease is the major factor which prohibits full utilization of these regions for cattle production. Various infectious and transmissible viral, rick ettsial, bacterial, and parti","I. Ristic, Ian McIntyre",Springer Science & Business Media,2013-11-11,Medical,0
"Global Media Economics: Commercialization, Concentration, and Integration of World Media Markets","This text studies the increasing international marketplace for media companies, exploring the mergers and acquisitions, the impact of technology, and the implications of changing regulatory policies and a growing world economy that are the most salient features of this scene.","Alan B. Albarran, Sylvia M. Chan-Olmsted",Iowa State Press,1998,Business & Economics,0
Handbook of Acoustics,"The most complete and current guide to architectural acoustics principles and practices Design and construct audiophile-quality sonic environments of all sizes--from home theaters and project studios to large-scale recording studios. Thoroughly revised to include new acoustical design techniques, Master Handbook of Acoustics, Sixth Edition, explains the art and science of room acoustics and architecture by combining theoretical instruction with matter-of-fact engineering advice. Written by renow","Ken Pohlmann, F. Alton Everest",McGraw-Hill Education TAB,2014-12-08,Technology & Engineering,0
Old and New Poems,,helen ferris,,1957,,0
Night (Pegasus Prize for Literature),"A political narrative about life in a world of violence, paranoia, and deception culminates in a disastrous foreign conference, and is accompanied by footnotes and asides that present the observances of four supplemental characters.",Bilge Karasu,,1994,Fiction,0
The Heart Of Our Cities,,Victor Gruen,London : Thames and Hudson,1965,City planning,0
The Prayer of Jabez for Women video workbook: Breaking Through to the Blessed Life (Additional Video Series from Global Vision Resources),Twee oprecht gelovige mannen zetten zich in voor de bouw van een kerk. Gaandeweg dreigt het project echter ten onder te gaan aan ambities en macht. De nieuwe roman van Francine Rivers roept de vraag op: wat is nu eigenlijk een kerk? Waar gaat het om in onze relatie met God? David Hudson is een gevierd predikant. Zijn pakkende preken trekken grote menigten mensen naar de kerk. Stephen Decker is architect en lid van Davids gemeente. Beide mannen hebben dezelfde droom: een kerk te bouwen tot eer va,Francine Rivers,Voorhoeve,2013-12-17,Fiction,0
Lectures to My Students (In Japanese),"Contains transcripts of lectures given at the Japan Information & Culture Center, Embassy of Japan, Washington D.C.",,,1992,Japan,0
Someone To Turn To (Silhouette Intimate Moments),,Marilyn Cunningham,Harlequin Books,1990,Fiction,0
Ancient Civilizations Of The New World (Essays in World History),"In this concise, yet sweeping look at the origins and development of ancient new world civiliozations, Richard adams provides a superb introductory overview of these unique and fascinating cultures. Incorporating the latest breakthroughs in the study of the cultures of Mesoamerica and the Andes, Adams examines the development of the Olmec, Maya, Aztec, and Inca peoples, among others, from simple agricultural societies to urban civilizations with complex transportation networks, distinct social h",Richard Ew Adams,Routledge,2018-02-19,Social Science,0
Terrorism Factbook: Our Nation at War!,This revised and updated second edition of a major reference work in the area contains definitions and descriptions of all aspects of terrorism and political violence.,John Richard Thackrah,Routledge,2013-09-05,Political Science,0
Exploration Geophysics of the Shallow Subsurface,Covers basic geophysical techniques used in environmental and groundwater analysis for advanced students in geology and civil engineering and for working professionals.,"Henry Robert Burger, Douglas C. Burger",Prentice Hall PTR,1992,Technology & Engineering,0
"Storyville, New Orleans: Being an Authentic, Illustrated Account of the Notorious Red Light District","Drawing upon interviews and research, the author investigates New Orleans' experiment with legalized prostitution between 1897 and 1917.",Al Rose,University Alabama Press,1974,History,0
"Salt-water poems and ballads,",,John Masefield,,1924,,2.0
Star girl,"A taut, emotive, devastating dark and all-consuming psychological thriller, reminiscent of Play Misty for Me ... from the critically acclaimed author of Maria in the Moon and The Lion Tamer Who Lost... WINNER of Best magazine’s BIG Book of the Year 2019 LONGLISTED for Guardian‘s NOT THE BOOKER PRIZE 'A complex and layered tale that charmed me as a much as it traumatised me. An atmospheric, haunting and beautifully written page turner!’ C L Taylor ‘Noirish psychological thriller with fascinating,",Louise Beech,Orenda Books,2019-02-18,Fiction,2.0
Italy and its Monarchy,"This book presents a study of the Italian monarchy and its impact on Italy's history, from Unification in 1861 to the foundation of the Italian republic after World War II.",Denis Mack Smith,Yale University Press,1989-01-01,History,0
Shakespeare (Doubleday anchor books),,Mark Van Doren,,1953,,0
"Sign and Sing Along: Twinkle, Twinkle Little Star",Presents a classic nursery rhyme accompanied by illustrations showing how to form the American Sign Language signs for each word. On board pages.,,Childs Play International Limited,2004,Juvenile Nonfiction,0
Diccionario Visual Grijalbo (SPANISH) (Spanish Edition),"The translator-in-training is guided through various areas of technical translation, from business and finance to law, medicine, and the media. This series offers the next and final step toward becoming a successful professional translator.",Morry Sofer,Taylor Trade Publications,2011-12-01,Language Arts & Disciplines,0
His Unexpected Wife,"With This Ring, I Thee Flee... High-spirited Annie Trevelyan leaves the mountains of Colorado behind, seeking fame and fortune, and no one is going to stop her. Not even Colin McBride, who's accompanying her West to make sure she goes to finishing school—and doesn't go astray! The lovely Annie's sure some timely flirtation will soon have Colin wrapped around her finger, but her coolly calculating kiss stokes unexpectedly passionate fires in them both. So now Annie must escape...because Colin's g",Maureen McKade,Harper Collins,2012-02-14,Fiction,8.0
Pocketful of Promises,"Experience the Joy of God's Love and the Peace of His Presence! God loves you! He promises you a hope and a future! A Pocketful of Promises for Women is packed with powerful promises and personal love letters from God to you. In it's pages you will find inspiration, encouragement, comfort, peace, and guidance that will enable you to know God better and experience His goodness and provision in your life. you will discover constant reminders that He is with you, that He loves you, and is faithful ",,David C Cook,2011-06-01,Religion,12.0
Awakening Women,"Published in 1899, Kate Chopin's The Awakening refused to shy away from its progressive depictions of femininity and womanhood, defying and challenging the status quo. This informative edition explores the theme of women's issues as they relate to The Awakening, investigating topics such as independence, inequality, and identity. Readers are provided with an extensive bibliography of author Kate Chopin, a series of essays the expand upon themes of gender found within the text, and a selection of",Dedria Bryfonski,Greenhaven Publishing LLC,2011-10-26,Young Adult Nonfiction,0
KGB/CIA,"'Reads like Tinker Taylor Soldier Spy' -James Risen, The Intercept 'A compelling account of the ongoing search for the Fourth Man... a gripping and mind-bending read' - Dr. Mark Stout, The Daily Beast For the first time ever, New York Times bestselling author and former CIA operative Robert Baer tells the explosive story of how insiders believe a KGB mole rose to the highest ranks of the CIA. In the aftermath of the Cold War, US intelligence caught three high-profile Russian spies. However, thes",Robert Baer,Hachette UK,2022-05-19,Biography & Autobiography,0
The Bronze Horseman: Selected Poems of Alexander Pushkin,"Provides a representative sampling of Pushkin's narrative poems, plays in verse, and shorter lyrics","Aleksandr Sergeevich Pushkin, Александр Сергеевич Пушкин",Viking,1982,Russian poetry,1.0
